date,open,high,low,close,volume,ma_5,ma_10,ma_20,ma_ratio_5_20,rsi_14,macd,macd_signal,daily_return,volatility_10,volatility_20,volume_change,volume_ma_10,high_low_range,target_return,target_direction
2016-08-05,135.75,135.8,135.02,135.44,662800,135.592,137.2,140.92649999999998,0.9621469347496747,19.290322580645068,-1.6601588294893475,-0.7734749715502337,0.004077396397064392,0.009130664064489266,0.010476068243547085,-0.539562348037513,1498390.0,0.005759007678676913,0.008933845245127081,1
2016-08-08,135.49,137.0,135.49,136.65,631400,135.572,136.81799999999998,140.706,0.9635125723139029,20.165922144224638,-1.6271734105324356,-0.944214659346674,0.008933845245127081,0.008915595800161151,0.010522830651728973,-0.04737477368738685,1386480.0,0.01105012806439803,0.01346505671423337,1
2016-08-09,137.4,139.0,137.35,138.49,2528200,135.94400000000002,136.751,140.387,0.9683517704630772,30.06614552014433,-1.4360062200615005,-1.0425729714896395,0.01346505671423337,0.009897514319618406,0.008899763228590278,3.0041178333861263,1479940.0,0.011914217633042137,0.0034659542205213167,1
2016-08-10,138.3,139.63,138.3,138.97,871300,136.888,136.679,140.06199999999998,0.9773386071882454,32.235294117647044,-1.2315760141932799,-1.0803735800303675,0.0034659542205213167,0.009881760515140269,0.008875625909836149,-0.6553674551063998,1486720.0,0.009570410880045939,-0.007339713607253384,0
2016-08-11,138.5,139.5,137.5,137.95,2522000,137.5,136.654,139.68849999999998,0.9843329980635487,34.01613904407198,-1.1387423655592954,-1.0920473371361532,-0.007339713607253384,0.009550902904319402,0.008934399019207982,1.8945254217835417,1596430.0,0.014498006524102937,0.011163465023559471,1
2016-08-12,140.0,141.51,139.02,139.49,2129800,138.31,136.951,139.387,0.9922733109974388,46.737683089214414,-0.930183326138831,-1.059674534936689,0.011163465023559471,0.009128509170782426,0.009430306738930434,-0.15551149881046789,1622890.0,0.017850741988672883,0.013405978923220374,1
2016-08-15,141.9,142.0,140.9,141.36,1196300,139.252,137.41199999999998,139.207,1.0003232596061982,57.0603337612324,-0.6070082003690516,-0.9691412680231615,0.013405978923220374,0.009785032147302527,0.010029404916305591,-0.4383040661094938,1633230.0,0.007781550650820559,0.003961516694962919,1
2016-08-16,142.89,143.0,141.25,141.92,2389700,139.938,137.94099999999997,139.00300000000001,1.0067264735293482,57.142857142857125,-0.3022184784654769,-0.8357567101116246,0.003961516694962919,0.009670943554778474,0.009913119972817026,0.9975758588982697,1661290.0,0.012330890642615559,-0.0038754227733933666,0
2016-08-17,142.2,142.49,140.9,141.37,1507000,140.418,138.653,138.8155,1.0115440999023886,60.804362644853526,-0.10385367095165066,-0.6893761022796299,-0.0038754227733933666,0.006918170184035355,0.009871491282410015,-0.36937690923546884,1587800.0,0.011247082124920446,0.004597863761759857,1
2016-08-18,141.84,143.0,141.4,142.02,1686900,141.23200000000003,139.366,138.666,1.0185048966581571,70.16129032258067,0.10459572149878227,-0.5305817375239474,0.004597863761759857,0.006919561411094713,0.009958142786849382,0.11937624419376247,1612540.0,0.011266018870581568,-0.0009857766511759403,0
2016-08-19,142.85,143.1,141.5,141.88,947000,141.70999999999998,140.01,138.60500000000002,1.0224017892572415,68.92988929889296,0.2555507073616923,-0.3733552485468195,-0.0009857766511759403,0.007189630753615319,0.009537765461125166,-0.4386152113344004,1640960.0,0.011277135607555642,-0.008316887510572357,0
2016-08-22,141.6,141.61,140.01,140.7,337600,141.578,140.41500000000002,138.6165,1.0213647004505235,63.928815879534525,0.2767769702757903,-0.24332880478229757,-0.008316887510572357,0.008070916703304183,0.00877340899747564,-0.64350580781415,1611580.0,0.01137171286425034,-0.003837953091684332,0
2016-08-23,139.75,141.5,139.62,140.16,749800,141.226,140.58200000000002,138.66649999999998,1.0184579548773498,73.14017227877835,0.24717615665832682,-0.14522781249417271,-0.003837953091684332,0.007393489690404535,0.008545341962597234,1.2209715639810428,1433740.0,0.013413242009132388,0.011843607305936033,1
