date,open,high,low,close,volume,ma_5,ma_10,ma_20,ma_ratio_5_20,rsi_14,macd,macd_signal,daily_return,volatility_10,volatility_20,volume_change,volume_ma_10,high_low_range,target_return,target_direction
2016-08-05,45.5,45.8,45.5,45.5,11500,46.516,46.516,45.979499999999994,1.0116682434563231,40.942028985507214,0.8626423541906334,1.0034449563357486,-0.023185916702447407,0.01028920040724813,0.01269818226473506,0.09523809523809534,46450.0,0.006593406593406531,-0.01098901098901095,0
2016-08-08,45.1,45.1,45.0,45.0,29000,46.116,46.416,46.055499999999995,1.001313632465178,34.66257668711653,0.7033424343641386,0.9434244519414267,-0.01098901098901095,0.010742113937331176,0.011181453428330426,1.5217391304347827,45050.0,0.002222222222222254,0.011111111111111072,1
2016-08-09,46.9,46.9,45.5,45.5,3000,45.815999999999995,46.363,46.140499999999996,0.992967132995958,43.35106382978721,0.610405546359182,0.8768206708249777,0.011111111111111072,0.011525157471988047,0.011310722388226986,-0.896551724137931,43500.0,0.03076923076923074,0.0013186813186814028,1
2016-08-10,45.5,45.56,45.5,45.56,3000,45.628,46.239,46.160000000000004,0.9884748700173309,44.2408376963351,0.5354218814395253,0.8085409129478873,0.0013186813186814028,0.009774125925829344,0.008964966559004797,0.0,29300.0,0.0013169446883231403,0.0010974539069359412,1
2016-08-11,45.56,45.61,45.56,45.61,1500,45.434000000000005,46.125,46.1415,0.9846667316840589,44.9612403100775,0.4745609259447505,0.74174491554726,0.0010974539069359412,0.009836577391081956,0.007974544339987339,-0.5,24350.0,0.0010962508221880544,0.019951764963823893,1
2016-08-12,46.7,46.85,46.45,46.52,15500,45.638,46.077,46.167500000000004,0.9885308929441705,55.43933054393309,0.49406233202782346,0.6922083988433727,0.019951764963823893,0.01197083916783196,0.009181483607382083,9.333333333333334,24250.0,0.008598452278589823,0.00881341358555443,1
2016-08-15,46.25,47.0,46.25,46.93,9000,46.024,46.07,46.214,0.9958886917384343,58.720930232558146,0.5364174241780617,0.6610502039103106,0.00881341358555443,0.012367356664233518,0.009360806148050523,-0.4193548387096774,22400.0,0.015981248668229277,0.020669081610909856,1
2016-08-16,48.0,48.25,47.25,47.9,91500,46.504000000000005,46.16,46.309000000000005,1.004210844544257,60.26119402985077,0.6408675114846218,0.6570136654251728,0.020669081610909856,0.014001436528857396,0.010330347205482747,9.166666666666666,27700.0,0.020876826722338204,0.0031315240083507057,1
2016-08-17,48.0,48.1,48.0,48.05,39000,47.001999999999995,46.315,46.411500000000004,1.012723139739073,61.90476190476189,0.727364103972846,0.6710837531347075,0.0031315240083507057,0.013280380529062179,0.010320946561812467,-0.5737704918032787,21350.0,0.0020811654526535156,0.004162330905306932,1
2016-08-18,48.55,48.55,48.0,48.25,31500,47.529999999999994,46.482,46.524,1.0216232482159744,61.55268022181147,0.802797455877041,0.6974264936831742,0.004162330905306932,0.013269250174556093,0.01031551377172258,-0.1923076923076923,23450.0,0.011398963730569889,0.026113989637305712,1
2016-08-19,48.25,49.75,48.0,49.51,91500,48.128,46.882999999999996,46.6995,1.0305891926037751,68.81559220389805,0.9532617919173347,0.7485935533300063,0.026113989637305712,0.011206199901429797,0.011567049184369025,1.9047619047619047,31450.0,0.03534639466774389,0.022621692587356135,1
2016-08-22,49.8,51.45,49.5,50.63,467500,48.868,47.446,46.931,1.041273358760734,73.29910141206678,1.1496283025823288,0.8288005031804708,0.022621692587356135,0.009628004635745088,0.012266281428413326,4.109289617486339,75300.0,0.03851471459608933,0.04345249851866484,1
2016-08-23,50.0,53.16,50.0,52.83,458500,49.854,48.179,47.271,1.0546423811639272,83.35089567966281,1.4658741066351553,0.9562152238714077,0.04345249851866484,0.013843110901142684,0.014933751317629399,-0.019251336898395754,120850.0,0.05981449933749757,-0.0088964603445012,0
2016-08-24,54.1,54.5,50.19,52.36,3411500,50.716,48.858999999999995,47.549,1.0666049759195777,79.251012145749,1.6594470402191703,1.0968615871409604,-0.0088964603445012,0.015278289219893985,0.015154411267454015,6.440567066521265,461700.0,0.08231474407945001,-0.007066462948815855,0
2016-08-25,52.0,52.5,51.95,51.99,465000,51.464,49.497,47.811,1.0764050113990504,85.38713195201748,1.7626799991215236,1.230025269537073,-0.007066462948815855,0.016238892260208495,0.015354204306281184,-0.8636963212663051,508050.0,0.010578957491825296,-0.016926331986920617,0
2016-08-26,51.9,52.0,50.51,51.11,1526500,51.784000000000006,49.956,48.01649999999999,1.0784626118105238,81.98952879581152,1.753273570921131,1.3346749298138847,-0.016926331986920617,0.018578232348669177,0.016148283655853843,2.282795698924731,659150.0,0.02915280766973199,0.021326550577186465,1
2016-08-29,51.97,53.0,51.97,52.2,134500,52.098,50.483,48.2765,1.0791585968328277,83.03747534516766,1.812875103574143,1.4303149645659363,0.021326550577186465,0.01893674698866109,0.016547002225151534,-0.9118899443170652,671700.0,0.019731800766283544,0.018390804597701038,1
2016-08-30,52.2,54.45,52.0,53.16,229500,52.164,51.009,48.5845,1.0736757607879057,84.42028985507247,1.9154931123071464,1.5273505941141783,0.018390804597701038,0.01881894459184983,0.01674159977480964,0.7063197026022305,685500.0,0.04608728367193384,-0.0024454477050412926,0
2016-08-31,53.9,54.5,53.0,53.03,186000,52.298,51.507000000000005,48.911,1.0692482263703462,83.36330935251803,1.9636924853907516,1.614618972369493,-0.0024454477050412926,0.019145685078824505,0.016401887491032177,-0.1895424836601307,700200.0,0.028285875919290968,-0.00999434282481615,0
2016-09-01,53.02,53.02,52.5,52.5,324000,52.4,51.932,49.20700000000001,1.0648891417887696,77.83985102420858,1.9367980627595003,1.6790547904474946,-0.00999434282481615,0.020129429450197984,0.016794258036932956,0.7419354838709677,729450.0,0.009904761904761965,-0.0013333333333332975,0
2016-09-02,52.5,52.79,52.0,52.43,284000,52.664,52.224000000000004,49.5535,1.0627705409305095,76.44230769230771,1.8880711155383167,1.7208580554656592,-0.0013333333333332975,0.01934053232698931,0.015442886569357512,-0.12345679012345678,748700.0,0.015067709326721327,-0.0038146099561320312,0
2016-09-05,52.95,53.4,52.2,52.23,298500,52.67,52.384,49.915,1.0551938295101673,72.48182762201453,1.8124238364842427,1.739171211669376,-0.0038146099561320312,0.018595278644870948,0.015076497107487494,0.051056338028169,731800.0,0.022975301550832775,-0.013593720084242644,0
2016-09-06,51.45,52.0,51.0,51.52,709500,52.342,52.253,50.215999999999994,1.0423371037119644,67.0264965652601,1.6758634459263888,1.7265096585207786,-0.013593720084242644,0.012720512059598277,0.015768494691332333,1.3768844221105527,756900.0,0.019409937888198756,0.007763975155279379,1
2016-09-07,51.85,52.11,51.5,51.92,368000,52.120000000000005,52.209,50.534,1.0313848102267782,67.6612127045236,1.5816823599232137,1.6975441988012658,0.007763975155279379,0.012870403743582996,0.015726083971813565,-0.48132487667371393,452550.0,0.011748844375963009,0.011171032357472965,1
2016-09-08,52.0,53.0,52.0,52.5,71500,52.120000000000005,52.260000000000005,50.878499999999995,1.0244012696915201,65.39649845520086,1.5361366958475315,1.6652626982105192,0.011171032357472965,0.01316764548077323,0.015699467385665928,-0.8057065217391304,413200.0,0.01904761904761905,0.04476190476190478,1
2016-09-09,52.55,55.0,52.55,54.85,708500,52.604,52.634,51.295,1.0255190564382493,69.28702010968924,1.670411327174584,1.6662924240033323,0.04476190476190478,0.01753399956165994,0.01762436989577792,8.909090909090908,331400.0,0.044667274384685554,0.020054694621695512,1
2016-09-15,55.0,56.0,54.0,55.95,581000,53.348,53.009,51.745999999999995,1.0309589146987208,65.85365853658541,1.8443255103832499,1.701899041279316,0.020054694621695512,0.017424604148424727,0.017815939366298904,-0.17995765702187716,376050.0,0.035746201966041107,0.03628239499553154,1
2016-09-16,56.0,58.74,55.2,57.98,1747000,54.64,53.491,52.25,1.0457416267942583,74.64912280701756,2.121502428733251,1.785819718770103,0.03628239499553154,0.01950729260285015,0.01867650174385404,2.0068846815834767,527800.0,0.06105553639185925,-0.007933770265608708,0
2016-09-19,58.0,59.0,57.25,57.52,342500,55.760000000000005,53.94,52.7235,1.0575929139757414,74.06440382941693,2.27779200944925,1.8842141769059324,-0.007933770265608708,0.01993403788797507,0.019043429746912314,-0.8039496279336005,543450.0,0.030424200278164115,-0.01773296244784428,0
2016-09-20,57.05,57.25,56.2,56.5,1028500,56.56,54.339999999999996,53.136,1.0644384221619994,73.17282889079969,2.292915846084874,1.965954510741721,-0.01773296244784428,0.020853723488820055,0.0199560589841509,2.002919708029197,613900.0,0.018584070796460128,-0.0015929203539823966,0
2016-09-21,56.0,56.9,55.0,56.41,583000,56.872,54.738,53.48100000000001,1.063405695480638,69.8024459078081,2.27145542355057,2.0270546933034908,-0.0015929203539823966,0.020866185335787338,0.01959896170450495,-0.4331550802139037,643800.0,0.03368197128168762,0.0024818294628612403,1
2016-09-22,56.55,57.0,56.51,56.55,199000,56.992000000000004,55.17,53.777,1.059783922494747,67.27828746177373,2.239924261467557,2.069628606936304,0.0024818294628612403,0.020578617309483353,0.01925353823828227,-0.6586620926243567,633850.0,0.00866489832007077,-0.003006189213085708,0
2016-09-23,56.5,58.0,56.25,56.38,79500,56.672000000000004,55.656000000000006,53.954499999999996,1.0503665125244421,67.00507614213201,2.1761329035795285,2.0909294662649494,-0.003006189213085708,0.019582966012852893,0.01714881129097913,-0.6005025125628141,570850.0,0.031039375665129477,0.00017736786094357804,1
2016-09-26,57.8,58.0,56.15,56.39,32500,56.446000000000005,56.102999999999994,54.156000000000006,1.0422852500184652,70.84673097534838,2.1021524049085087,2.0931740539936614,0.00017736786094357804,0.019791699710484695,0.0169250862389614,-0.5911949685534591,537300.0,0.03280723532541233,-0.0065614470650824375,0
2016-09-27,55.07,56.9,55.0,56.02,23000,56.35,56.455,54.3575,1.036655475325392,68.63966770508833,1.9907186534721504,2.0726829738893593,-0.0065614470650824375,0.020310033844630152,0.016908313349239083,-0.29230769230769227,532450.0,0.03391645840771151,0.008568368439842766,1
2016-09-28,56.02,56.5,56.02,56.5,6000,56.367999999999995,56.61999999999999,54.626999999999995,1.0318706866567815,71.54389505549956,1.9190173535892825,2.041949849829344,0.008568368439842766,0.01540476872304779,0.016204005301736907,-0.7391304347826086,462200.0,0.008495575221238883,-0.0012389380530973826,0
2016-09-29,56.95,57.0,56.0,56.43,95500,56.34400000000001,56.66799999999999,54.838499999999996,1.027453340262772,76.48327939590078,1.8353879322726243,2.0006374663180004,-0.0012389380530973826,0.014223089377352881,0.01579879468143641,14.916666666666666,413650.0,0.0177210703526493,-0.025163919900762055,0
